,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
85,35384,55458,94174,140312,112686,84199,122641,49813,85083,63443,136440,87325,1569,81095,41319,56868,58752,89500,47923,6770
86,67812,114838,28193,141172,109598,31785,127411,25236,44878,96264,29022,93551,62975,110121,21484,10660,87743,65259,88187,81897
87,85122,83810,10895,57356,97318,40154,77259,5154,45087,29644,54158,80720,69370,3994,29617,111812,58751,22382,44641,44209
88,88512,115101,78689,115070,38913,1401,22443,106717,96311,20206,4168,9876,122464,106570,9688,132278,80142,65290,93099,103359
89,85328,70354,83498,96198,128829,107283,19943,771,63844,10504,35154,91204,87401,138752,14930,9157,134217,31069,121751,15332
90,110227,92925,13003,123469,63075,80809,67305,43212,98947,44452,109028,43189,48908,219,20520,17578,103483,128095,79253,20071
91,113673,12543,31524,33460,3146,56955,91188,61348,11772,29776,67404,85757,32378,114803,16152,95879,84080,57512,124513,100264
92,92783,71287,39192,68841,72651,129656,133065,14463,62236,80134,32442,41090,44046,94044,135264,75489,140594,64670,47758,111604
93,6389,47692,90671,36649,128842,127243,12158,115636,63696,31165,62229,37474,1594,39803,67825,9568,81734,87919,80113,22149
94,85783,115083,65774,117085,73582,109092,71556,141434,133884,9689,66500,6436,63037,77851,749,29194,92681,49011,48340,28575
95,19564,141249,32755,125458,48178,42040,84713,27974,44430,138655,121309,98088,120660,98768,2546,73257,53486,16555,71191,53819
96,42424,69888,70600,116998,72318,57630,125306,72993,32720,10562,67691,81102,38434,127809,28961,5845,82100,45993,48431,20095
97,110804,38884,33989,61162,29783,45381,121783,48645,87177,23223,71393,331,2303,128486,6183,133078,134738,94345,85052,133547
98,66674,92059,21831,100385,138263,115722,120935,141413,35217,19330,69818,3639,43648,135932,69143,111646,23781,64809,44926,85006
99,83787,87763,113275,124909,101136,102434,120523,50195,8631,27193,109779,37609,33161,34204,8485,17503,91892,36047,45556,52674
